h52|190|	8.135449753096575E7|0.0
h52|195|	7.420544778278735E7|0.0
h52|200|	7.349901026360992E7|305.0
h52|205|	7.802570833322358E7|0.0
h52|20|	1.0106140119639903E8|0.0
h52|210|	7.816810915035784E7|0.0
h52|215|	7.854909070750333E7|0.0
h52|220|	8.582303752018502E7|0.0
h52|225|	8.524217881011796E7|0.0
h52|230|	9.251016620486331E7|0.0
h52|235|	8.112827872165886E7|0.0
h52|240|	8.023154722138958E7|0.0
h52|245|	7.96486039169953E7|0.0
h52|250|	7.948284421414281E7|0.0
h52|255|	7.964396535817769E7|0.0
h52|25|	7.81376252310966E7|0.0
h52|260|	7.882367959620216E7|0.0
h52|265|	7.695095239560103E7|0.0
h52|270|	7.644139385479037E7|0.0
h52|275|	8.566727252748738E7|0.0
h52|280|	8.541437973909082E7|0.0
h52|285|	7.471806514862676E7|0.0
h52|290|	1.2733157110043325E8|0.0
h52|295|	1.2470212728938982E8|0.0
h52|300|	1.6433026951614067E8|288.0
h52|305|	1.2631017857212459E8|0.0
h52|30|	6.80726332698469E7|0.0
h52|310|	1.2316084582724267E8|0.0
h52|315|	1.6332772305103996E8|0.0
h52|320|	1.6449080042667496E8|0.0
h52|325|	1.6303764858346528E8|0.0
h52|330|	1.643186743893011E8|0.0
h52|335|	1.662469808121944E8|0.0
h52|340|	1.6519381255424505E8|0.0
h52|345|	1.7905189874627027E8|0.0
h52|350|	1.665154219800185E8|0.0
h52|355|	1.4866942385406837E8|0.0
h52|35|	6.562605769199762E7|0.0
h52|360|	1.416759627689923E8|0.0
h52|365|	1.2915155115769947E8|0.0
h52|370|	1.2423792846779488E8|0.0
h52|375|	1.3253910849409123E8|0.0
h52|380|	1.2738721493386754E8|305.0
h52|385|	1.281201987885225E8|0.0
h52|390|	1.3750582839968786E8|0.0
h52|395|	1.3328524333658585E8|0.0
h52|400|	1.2711385267683478E8|0.0
h52|405|	1.4323704567704877E8|0.0
h52|40|	5.7423097063571356E7|0.0
h52|410|	1.4325848547799808E8|0.0
h52|415|	1.464953183278478E8|0.0
h52|420|	1.553663094163515E8|0.0
h52|425|	1.4856200626069024E8|0.0
h52|430|	1.408440014530877E8|0.0
h52|435|	1.549726780150872E8|0.0
h52|440|	1.0898767041483243E8|0.0
h52|445|	1.5976272085299146E8|0.0
h52|450|	1.3511128637991944E8|0.0
h52|455|	1.5456707618601286E8|0.0
h52|45|	5.562197893513319E7|0.0
h52|460|	1.3845479292949364E8|0.0
h52|465|	1.4400110590932852E8|0.0
h52|470|	1.5041167989957303E8|0.0
h52|475|	1.499997722313498E8|0.0
h52|480|	1.2847372822132102E8|0.0
h52|485|	1.3008189184797487E8|0.0
h52|490|	1.2920521457932551E8|308.0
h52|495|	1.4275126681941468E8|0.0
h52|500|	1.2647000757040705E8|0.0
h52|505|	1.5734400126968527E8|0.0
h52|50|	5.706995500162984E7|0.0
h52|510|	1.4268529914791748E8|0.0
h52|515|	1.410666397119583E8|0.0
h52|520|	1.2864034318286376E8|0.0
h52|525|	1.4593313579720172E8|0.0
h52|530|	1.2822399022122715E8|0.0
h52|535|	1.4506160165382016E8|0.0
h52|540|	1.4302076042467943E8|0.0
h52|545|	1.2939035536593613E8|0.0
h52|550|	1.3147261209513038E8|0.0
h52|555|	1.168439321937086E8|0.0
h52|55|	5.862835883878696E7|0.0
h52|560|	1.2900108258158539E8|0.0
h52|565|	1.3350666469873731E8|0.0
